archivo,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RidgePSO,2025,2024.071138878381,0.9288611216193204,2025,2024.133624236743,0.8663757632571105,2025,2024.190491650127,0.8095083498733402
validacionmodelo_AÑO_True,Linear,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_AÑO_True,LinearPSO,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_Capital contribuido_True,Linear,46475907,46377709.82891736,98197.17108264564,46699803,46547934.1365735,151868.86342649907,46948934,46718371.18852179,230562.81147821248
validacionmodelo_Capital contribuido_True,RidgePSO,46475907,46382754.6898427,93152.31015729904,46699803,46547671.3677122,152131.6322878003,46948934,46717470.04404055,231463.95595945415
validacionmodelo_Capital contribuido_True,LinearPSO,46475907,46375392.37724589,100514.62275411189,46699803,46544776.2633082,155026.73669180274,46948934,46714410.85483801,234523.14516198635
validacionmodelo_Comisiones y tarifas cobradas_True,Linear,185564,1447115.7108324994,-1261551.7108324994,312401,1317468.59110789,-1005067.59110789,455175,1207402.042631262,-752227.042631262
validacionmodelo_Comisiones y tarifas cobradas_True,LinearPSO,185564,1446715.9930039265,-1261151.9930039265,312401,1314040.5917194576,-1001639.5917194576,455175,1204244.3545019217,-749069.3545019217
validacionmodelo_Comisiones y tarifas cobradas_True,RidgePSO,185564,1446556.6025506945,-1260992.6025506945,312401,1313893.626223542,-1001492.626223542,455175,1204105.388153162,-748930.3881531619
validacionmodelo_Comisiones y tarifas pagadas_True,Linear,96821,469978.8180127701,-373157.8180127701,167158,413718.0309057781,-246560.0309057781,222934,367770.0021642876,-144836.00216428755
validacionmodelo_Comisiones y tarifas pagadas_True,Lasso,96821,463936.8063955723,-367115.8063955723,167158,403886.6142371834,-236728.6142371834,222934,355761.48063221225,-132827.48063221225
validacionmodelo_Comisiones y tarifas pagadas_True,LinearPSO,96821,465755.1068076704,-368934.1068076704,167158,402527.6348316752,-235369.63483167515,222934,351610.3548228597,-128676.35482285968
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,Ridge,0,0.2543937208658125,-0.2543937208658125,0,0.4816556614300594,-0.4816556614300594,0,0.690841885789032,-0.690841885789032
validacionmodelo_Créditos a la vivienda3_True,RidgePSO,0,0.2440812967641028,-0.2440812967641028,0,0.4738815900916451,-0.4738815900916451,0,0.6862255308468869,-0.6862255308468869
validacionmodelo_Créditos a la vivienda3_True,LinearPSO,0,0.2440428325739181,-0.2440428325739181,0,0.4738524252917966,-0.4738524252917966,0,0.6862078487860185,-0.6862078487860185
validacionmodelo_Créditos a la vivienda4_True,MLPSO,0,3.6253912372163905e-10,-3.6253912372163905e-10,0,3.7483629394818857e-10,-3.7483629394818857e-10,0,3.4368668327955376e-10,-3.4368668327955376e-10
validacionmodelo_Créditos a la vivienda4_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda4_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,Linear,217288,2358484.122663308,-2141196.122663308,404523,2310646.2731734198,-1906123.2731734195,618616,2273345.9972817632,-1654729.9972817632
validacionmodelo_Créditos comerciales3_True,LinearPSO,217288,2358294.8697089497,-2141006.8697089497,404523,2308611.238597844,-1904088.2385978436,618616,2271223.960931907,-1652607.960931907
validacionmodelo_Créditos comerciales3_True,RidgePSO,217288,2356911.404213196,-2139623.404213196,404523,2307155.996771581,-1902632.996771581,618616,2269641.733916134,-1651025.733916134
validacionmodelo_Créditos comerciales4_True,RF,2469,31972.84999999996,-29503.84999999996,12131,37728.33,-25597.329999999994,12346,39726.77000000002,-27380.77000000002
validacionmodelo_Créditos comerciales4_True,DTPSO,2469,37163.0,-34694.0,12131,38228.0,-26097.0,12346,39126.0,-26780.0
validacionmodelo_Créditos comerciales4_True,RFPSO,2469,30079.28571428571,-27610.28571428571,12131,35636.071428571435,-23505.071428571435,12346,39100.42857142857,-26754.42857142857
validacionmodelo_Créditos comerciales5_True,MLPSO,0,9.482484471592945e-08,-9.482484471592945e-08,0,9.650908855234065e-08,-9.650908855234065e-08,0,9.646278372951733e-08,-9.646278372951733e-08
validacionmodelo_Créditos comerciales5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,XGBoostPSO,-14036,53335.64846628905,-67371.64846628904,-96923,146827.2574336529,-243750.2574336529,-36630,183009.1435705424,-219639.1435705424
validacionmodelo_Créditos comerciales6_True,XGBoost,-14036,122581.53665661812,-136617.53665661812,-96923,168770.22357392314,-265693.2235739231,-36630,172574.51269781592,-209204.51269781592
validacionmodelo_Créditos comerciales6_True,RF,-14036,65857.38499999994,-79893.38499999994,-96923,126181.69999999988,-223104.69999999987,-36630,159424.20000000024,-196054.20000000024
validacionmodelo_Créditos de consumo1_True,DTPSO,9032738,9583176.0,-550438.0,8799823,9729654.000000002,-929831.000000002,8084911,10071746.000000002,-1986835.0000000016
validacionmodelo_Créditos de consumo1_True,XGBoost,9032738,9820787.74303162,-788049.743031621,8799823,9997690.825529814,-1197867.8255298138,8084911,9974989.225397706,-1890078.225397706
validacionmodelo_Créditos de consumo1_True,XGBoostPSO,9032738,10020018.357577384,-987280.3575773836,8799823,10051412.006316602,-1251589.0063166022,8084911,9945114.427331269,-1860203.4273312688
validacionmodelo_Créditos de consumo2_True,XGBoostPSO,-15314510,-15594212.663458468,279702.66345846653,-14905902,-14902840.560044529,-3061.439955472946,-15870485,-14763475.317110896,-1107009.682889104
validacionmodelo_Créditos de consumo2_True,XGBoost,-15314510,-15541434.435388329,226924.43538832664,-14905902,-15014567.99380827,108665.9938082695,-15870485,-15072509.458958684,-797975.5410413146
validacionmodelo_Créditos de consumo2_True,MLPSO,-15314510,-15319452.658810625,4942.65881062299,-14905902,-15168741.234842837,262839.234842835,-15870485,-15088192.075542036,-782292.9244579636
validacionmodelo_Créditos de consumo3_True,MLP,7809437,406649814.4978481,-398840377.4978481,14943581,-442076159.1344528,457019740.1344528,23061817,515797560.7079192,-492735743.7079192
validacionmodelo_Créditos de consumo3_True,DTPSO,7809437,69313602.0,-61504165.0,14943581,69313602.0,-54370021.0,23061817,69313602.0,-46251785.0
validacionmodelo_Créditos de consumo3_True,XGBoostPSO,7809437,69191176.74788922,-61381739.74788922,14943581,69191176.74788922,-54247595.74788922,23061817,69191176.74788922,-46129359.74788922
validacionmodelo_Créditos de consumo4_True,XGBoostPSO,283763,1341282.394392431,-1057519.394392431,422632,931938.2085479796,-509306.2085479797,498776,1854283.5485348704,-1355507.5485348704
validacionmodelo_Créditos de consumo4_True,MLP,283763,1549334.9399410568,-1265571.9399410568,422632,1529356.7567159852,-1106724.7567159852,498776,1534192.9247026923,-1035416.9247026924
validacionmodelo_Créditos de consumo4_True,Linear,283763,1539928.36058937,-1256165.36058937,422632,1523168.0549607095,-1100536.0549607095,498776,1523212.387309737,-1024436.387309737
validacionmodelo_Créditos de consumo5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,DTPSO,1222155,14891228.999999998,-13669073.999999998,1935647,14891228.999999998,-12955581.999999998,4046960,14891228.999999998,-10844268.999999998
validacionmodelo_Créditos de consumo6_True,XGBoostPSO,1222155,14871808.069426058,-13649653.069426058,1935647,14871808.069426058,-12936161.069426058,4046960,14871808.069426058,-10824848.069426058
validacionmodelo_Créditos de consumo6_True,XGBoost,1222155,13549838.785308836,-12327683.785308836,1935647,13549838.785308836,-11614191.785308836,4046960,13549838.785308836,-9502878.785308836
validacionmodelo_Créditos de consumo_True,Linear,455122670,458629457.6655405,-3506787.6655405164,466064428,463825861.2166664,2238566.783333659,472451068,468815791.7996897,3635276.20031029
validacionmodelo_Créditos de consumo_True,LinearPSO,455122670,458629457.6655405,-3506787.6655405164,466064428,463825861.2166664,2238566.783333659,472451068,468815791.7996896,3635276.200310409
validacionmodelo_Créditos de consumo_True,RidgePSO,455122670,457306193.9091896,-2183523.909189641,466064428,462336436.335466,3727991.6645339727,472451068,467206419.20124507,5244648.7987549305
validacionmodelo_Depósitos a plazo_True,Linear,138974402,133089973.07166705,5884428.92833297,150681725,136172955.7850939,14508769.214906096,155961229,139329413.4660307,16631815.533969313
validacionmodelo_Depósitos a plazo_True,RidgePSO,138974402,132998430.51763567,5975971.482364312,150681725,135940727.11393785,14740997.886062143,155961229,138886723.52965793,17074505.47034207
validacionmodelo_Depósitos a plazo_True,LinearPSO,138974402,133007374.98680504,5967027.013194948,150681725,135938664.82538718,14743060.17461282,155961229,138871535.98026124,17089693.019738764
validacionmodelo_Depósitos de exigibilidad inmediata_True,Linear,430361702,432847634.2887268,-2485932.288726747,432268641,435555148.8489558,-3286507.84895581,436236415,438080772.0261301,-1844357.02613014
validacionmodelo_Depósitos de exigibilidad inmediata_True,LinearPSO,430361702,432847634.2887268,-2485932.288726747,432268641,435555148.84895575,-3286507.8489557505,436236415,438080772.02613,-1844357.026129961
validacionmodelo_Depósitos de exigibilidad inmediata_True,RidgePSO,430361702,430167367.7799959,194334.22000408173,432268641,432657693.1710991,-389052.1710991264,436236415,435115859.5434595,1120555.456540525
validacionmodelo_Disponibilidades_True,LinearPSO,24108153,19734614.83906511,4373538.160934892,19799516,18110045.95249598,1689470.047504019,22218738,18820247.38826353,3398490.611736465
validacionmodelo_Disponibilidades_True,Linear,24108153,19734614.839065112,4373538.160934888,19799516,18110045.95249598,1689470.047504019,22218738,18820247.38826353,3398490.611736465
validacionmodelo_Disponibilidades_True,RidgePSO,24108153,19730452.294444986,4377700.705555014,19799516,18105622.90861044,1693893.091389563,22218738,18815600.501705434,3403137.498294566
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,XGBoostPSO,432,39009.26631855965,-38577.26631855965,-8951,54896.5019145012,-63847.5019145012,-4174,123720.08720326424,-127894.08720326424
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,XGBoost,432,27498.652898788463,-27066.652898788463,-8951,51937.48780870438,-60888.48780870438,-4174,88283.23527121545,-92457.23527121544
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,DTPSO,432,44100.99999999999,-43668.99999999999,-8951,58063.99999999999,-67014.99999999999,-4174,61926.99999999998,-66100.99999999997
validacionmodelo_Fondo de reserva_True,Ridge,127433107,129846072.87379308,-2412965.8737930804,127433107,131308554.76412596,-3875447.764125973,127433107,132767033.57915775,-5333926.579157755
validacionmodelo_Fondo de reserva_True,RidgePSO,127433107,129371545.53200977,-1938438.5320097504,127433107,131136252.45378238,-3703145.45378238,127433107,132763764.14576273,-5330657.145762727
validacionmodelo_Fondo de reserva_True,LinearPSO,127433107,129355372.01952454,-1922265.0195245445,127433107,131125811.80812705,-3692704.808127031,127433107,132756417.88100712,-5323310.881007135
validacionmodelo_Gastos de administración y promoción_True,DTPSO,3607147,43066616.0,-39459469.0,8387541,43066616.0,-34679075.0,12955309,43066616.0,-30111307.0
validacionmodelo_Gastos de administración y promoción_True,XGBoostPSO,3607147,43012949.55979312,-39405802.55979312,8387541,43012949.55979312,-34625408.559793115,12955309,43012949.55979312,-30057640.559793115
validacionmodelo_Gastos de administración y promoción_True,XGBoost,3607147,38314885.38383436,-34707738.38383436,8387541,38314885.38383436,-29927344.38383436,12955309,38314885.38383436,-25359576.38383436
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,MLPSO,0,2.401230050214087e-08,-2.401230050214087e-08,0,2.4826798519783644e-08,-2.4826798519783644e-08,0,2.2763610850462523e-08,-2.2763610850462523e-08
validacionmodelo_Incremento por actualización de ingresos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,MLPSO,0,8.030792558733069e-09,-8.030792558733069e-09,0,7.997202539078431e-09,-7.997202539078431e-09,0,7.798008419546143e-09,-7.798008419546143e-09
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,DTPSO,0,19.43478260869565,-19.43478260869565,0,59.0,-59.0,0,135.0,-135.0
validacionmodelo_Intereses de disponibilidades_True,RFPSO,0,18.569999125931545,-18.569999125931545,0,38.63348926100552,-38.63348926100552,0,108.2228541425186,-108.2228541425186
validacionmodelo_Intereses de disponibilidades_True,RF,0,15.792078300845484,-15.792078300845484,0,42.67033949775568,-42.67033949775568,0,104.41999999999994,-104.41999999999994
validacionmodelo_Intereses por depósitos a plazo_True,MLP,760149,8970887.601096421,-8210738.601096421,1506776,10570964.20566572,-9064188.20566572,2369964,12406860.996059936,-10036896.996059936
validacionmodelo_Intereses por depósitos a plazo_True,Linear,760149,7339182.422817848,-6579033.422817848,1506776,7257954.933931868,-5751178.933931868,2369964,7178071.905580366,-4808107.905580366
validacionmodelo_Intereses por depósitos a plazo_True,LinearPSO,760149,7305520.124200959,-6545371.124200959,1506776,7166950.481915928,-5660174.481915928,2369964,7022337.191079682,-4652373.191079682
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,MLP,835175,1443958.2311779591,-608783.2311779591,1591510,-8425635.614168119,10017145.61416812,2434591,41263476.42460315,-38828885.42460315
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,LassoPSO,835175,7600241.651031731,-6765066.651031731,1591510,6319120.16040875,-4727610.16040875,2434591,5411787.151892722,-2977196.1518927217
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,Lasso,835175,7646239.668598384,-6811064.668598384,1591510,6309800.999676145,-4718290.999676145,2434591,5288782.706372731,-2854191.706372732
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,Linear,0,20159.952940558636,-20159.952940558636,0,20818.79650754493,-20818.79650754493,0,21487.308962516625,-21487.308962516625
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,LinearPSO,0,20159.95294055863,-20159.95294055863,0,20818.796507544925,-20818.796507544925,0,21487.308962516618,-21487.308962516618
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,RidgePSO,0,20158.43266358285,-20158.43266358285,0,20810.803299604875,-20810.803299604875,0,21473.929362618117,-21473.929362618117
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,Lasso,0,2755.576599569536,-2755.576599569536,0,4764.915773958244,-4764.915773958244,0,6230.106006145514,-6230.106006145514
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,Ridge,0,2450.4181327050983,-2450.4181327050983,0,4461.277016791837,-4461.277016791837,0,5629.52331481131,-5629.52331481131
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,LassoPSO,0,2323.264221894959,-2323.264221894959,0,4347.8819488135605,-4347.8819488135605,0,5551.791696474966,-5551.791696474966
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,Linear,2430998,26993386.63742335,-24562388.63742335,4495126,26785163.872082114,-22290037.872082114,6754384,26639267.899544112,-19884883.899544112
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,LinearPSO,2430998,26993386.63742335,-24562388.63742335,4495126,26785163.872082107,-22290037.872082107,6754384,26639267.8995441,-19884883.8995441
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,RidgePSO,2430998,26879426.04588542,-24448428.04588542,4495126,26612763.315716334,-22117637.315716334,6754384,26408305.641819738,-19653921.641819738
validacionmodelo_Inversiones en valores_True,Linear,280216243,273534474.9849143,6681768.015085697,290849436,275113812.1218469,15735623.878153086,293608122,276406618.6649718,17201503.33502817
validacionmodelo_Inversiones en valores_True,LinearPSO,280216243,273534474.9849143,6681768.015085697,290849436,275113812.12184685,15735623.878153143,293608122,276406618.66497177,17201503.33502823
validacionmodelo_Inversiones en valores_True,RidgePSO,280216243,273465326.78009444,6750916.219905555,290849436,275073722.2098972,15775713.79010278,293608122,276318715.7861244,17289406.21387559
validacionmodelo_Inversiones permanentes_True,Linear,1503804,1500772.579038045,3031.4209619550966,1503804,1497898.9841847871,5905.015815212857,1503804,1495050.427676058,8753.572323941858
validacionmodelo_Inversiones permanentes_True,Ridge,1503804,1497759.880663461,6044.119336538948,1503804,1492678.6659460715,11125.334053928264,1503804,1487181.154908861,16622.845091138966
validacionmodelo_Inversiones permanentes_True,RidgePSO,1503804,1498124.3018324545,5679.698167545488,1503804,1492755.3676704953,11048.632329504704,1503804,1486847.7527272229,16956.24727277714
validacionmodelo_Operaciones discontinuadas_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Operaciones discontinuadas_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Operaciones discontinuadas_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,MLP,3358004,3063020.587544831,294983.412455169,3766737,3086591.690402458,680145.309597542,3756536,3028893.2867392306,727642.7132607694
validacionmodelo_Otras cuentas por cobrar_True,Linear,3358004,3037251.912078137,320752.08792186296,3766737,3012758.1282756445,753978.8717243555,3756536,2922677.9498705827,833858.0501294173
validacionmodelo_Otras cuentas por cobrar_True,LassoPSO,3358004,3013942.845612915,344061.1543870848,3766737,2984437.463346697,782299.5366533031,3756536,2864892.3208904085,891643.6791095915
validacionmodelo_Otras cuentas por pagar_True,Linear,14075139,13375772.237172818,699366.7628271822,14987231,13376010.566179898,1611220.4338201024,13527903,13351252.327168506,176650.67283149436
validacionmodelo_Otras cuentas por pagar_True,Ridge,14075139,13392934.668879656,682204.3311203439,14987231,13370146.97012644,1617084.029873561,13527903,13338636.715613669,189266.28438633308
validacionmodelo_Otras cuentas por pagar_True,RidgePSO,14075139,13288683.012036756,786455.9879632443,14987231,13308998.238147233,1678232.761852767,13527903,13263399.642288033,264503.35771196894
validacionmodelo_Otros activos_True,XGBoost,1792279,948589.5868864058,843689.4131135942,1718950,908818.4320249556,810131.5679750444,1567336,1125932.274857521,441403.7251424789
validacionmodelo_Otros activos_True,RF,1792279,993403.8072023796,798875.1927976205,1718950,956988.3728598488,761961.6271401511,1567336,1030902.0735714271,536433.9264285729
validacionmodelo_Otros activos_True,RFPSO,1792279,984910.9240506332,807368.0759493669,1718950,950365.0198915012,768584.9801084987,1567336,922984.9113924052,644351.0886075948
validacionmodelo_Otros ingresos (egresos) de la operación_True,DT,-1540,986879.25,-988419.25,-5247,1070180.714285714,-1075427.714285714,4680,1070180.714285714,-1065500.714285714
validacionmodelo_Otros ingresos (egresos) de la operación_True,RFPSO,-1540,751999.3125000001,-753539.3125000001,-5247,920658.375,-925905.375,4680,878452.0,-873772.0
validacionmodelo_Otros ingresos (egresos) de la operación_True,DTPSO,-1540,493630.00000000006,-495170.00000000006,-5247,846105.0,-851352.0,4680,856494.0,-851814.0
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",DTPSO,0,2372.813008130081,-2372.813008130081,0,2372.813008130081,-2372.813008130081,0,2372.813008130081,-2372.813008130081
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",XGBoostPSO,0,2365.6913105677813,-2365.6913105677813,0,2365.6913105677813,-2365.6913105677813,0,2365.6913105677813,-2365.6913105677813
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",RFPSO,0,2364.566345368396,-2364.566345368396,0,2364.566345368396,-2364.566345368396,0,2364.566345368396,-2364.566345368396
"validacionmodelo_Propiedades, mobiliario y equipo_True",LinearPSO,21498801,20705492.19116155,793308.8088384494,21397787,20535310.01158751,862476.9884124883,22029172,20060626.711347792,1968545.288652208
"validacionmodelo_Propiedades, mobiliario y equipo_True",Linear,21498801,20705492.191161547,793308.8088384531,21397787,20535310.011587504,862476.9884124957,22029172,20060626.711347777,1968545.2886522224
"validacionmodelo_Propiedades, mobiliario y equipo_True",RidgePSO,21498801,20691824.753147032,806976.2468529679,21397787,20517234.63509227,880552.3649077304,22029172,20038539.25717729,1990632.7428227104
validacionmodelo_Pérdida por valorización_True,MLPSO,0,5.99295970488134e-10,-5.99295970488134e-10,0,6.626250138863642e-10,-6.626250138863642e-10,0,7.568912128996795e-10,-7.568912128996795e-10
validacionmodelo_Pérdida por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Pérdida por valorización_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,DTPSO,4420136,32769314.0,-28349178.0,7102388,32769314.0,-25666926.0,9416839,32769314.0,-23352475.0
validacionmodelo_Resultado neto_True,XGBoostPSO,4420136,32725647.17642069,-28305511.17642069,7102388,32725647.17642069,-25623259.17642069,9416839,32725647.17642069,-23308808.17642069
validacionmodelo_Resultado neto_True,XGBoost,4420136,32574210.070071697,-28154074.070071697,7102388,32574210.070071697,-25471822.070071697,9416839,32574210.070071697,-23157371.070071697
validacionmodelo_Resultado por intermediación_True,MLPSO,0,7.369885743346848e-10,-7.369885743346848e-10,0,6.684103409648755e-10,-6.684103409648755e-10,0,7.057547532496321e-10,-7.057547532496321e-10
validacionmodelo_Resultado por intermediación_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por intermediación_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,DTPSO,10927979,103988221.0,-93060242.0,20585147,103988221.0,-83403074.0,31405794,103988221.0,-72582427.0
validacionmodelo_Total ingresos_True,XGBoostPSO,10927979,103800938.12834132,-92872959.12834132,20585147,103800938.12834132,-83215791.12834132,31405794,103800938.12834132,-72395144.12834132
validacionmodelo_Total ingresos_True,XGBoost,10927979,94087085.65106738,-83159106.65106738,20585147,75461743.0158987,-54876596.01589871,31405794,83995952.12952471,-52590158.12952471
validacionmodelo_True,Linear,280216243,273534474.9849143,6681768.015085697,290849436,275113812.1218469,15735623.878153086,293608122,276406618.6649718,17201503.33502817
validacionmodelo_True,LinearPSO,280216243,273534474.9849143,6681768.015085697,290849436,275113812.12184685,15735623.878153143,293608122,276406618.66497177,17201503.33502823
validacionmodelo_True,RidgePSO,280216243,273532384.6166906,6683858.383309424,290849436,275112635.25271183,15736800.747288167,293608122,276403985.58530706,17204136.41469294
validacionmodelo_Utilidad por valorización_True,MLPSO,0,9.305734086084705e-09,-9.305734086084705e-09,0,9.62138253096656e-09,-9.62138253096656e-09,0,8.821822002069712e-09,-8.821822002069712e-09
validacionmodelo_Utilidad por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Utilidad por valorización_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
